week,turnoverRatio
292,0.21000000000000002
293,0.235
294,0.356
295,0.41600000000000004
296,0.312
297,0.252
298,0.26
299,0.27666666666666667
300,0.375
301,0.362
302,0.28400000000000003
303,0.28400000000000003
304,0.238
305,0.198
306,0.20400000000000001
307,0.1575
308,0.168
309,0.178
310,0.21200000000000002
311,0.24
312,0.21000000000000005
313,0.194
314,0.254
315,0.21800000000000003
316,0.236
317,0.27
318,0.252
319,0.238
320,0.242
321,0.262
322,0.26
323,0.322
324,0.286
325,0.274
326,0.322
327,0.266
328,0.43600000000000005
329,0.392
330,0.376
331,0.3
332,0.3
333,0.31
334,0.252
335,0.242
336,0.23399999999999999
337,0.242
338,0.22599999999999998
339,0.17800000000000002
340,0.19
341,0.21000000000000002
342,0.29600000000000004
343,0.236
344,0.19000000000000003
345,0.176
346,0.28250000000000003
347,0.268
348,0.266
349,0.236
350,0.316
351,0.22799999999999998
352,0.274
353,0.248
354,0.324
355,0.35
356,0.23399999999999999
357,0.252
358,0.3
359,0.256
360,0.24000000000000005
361,0.33
362,0.25
363,0.24
364,0.22800000000000004
365,0.22799999999999998
366,0.22249999999999998
367,0.316
368,0.41600000000000004
369,0.46799999999999997
370,0.422
371,0.332
372,0.356
373,0.252
374,0.21800000000000003
375,0.25
376,0.20600000000000002
377,0.21200000000000002
378,0.23199999999999998
379,0.22399999999999998
380,0.21800000000000003
381,0.255
382,0.21000000000000002
383,0.21799999999999997
384,0.24000000000000005
385,0.196
386,0.28
387,0.33
388,0.312
389,0.27799999999999997
390,0.262
391,0.31999999999999995
392,0.306
393,0.21799999999999997
394,0.166
395,0.184
