month,index_level,max_12,ML,mean_12,std_12,CCt
44,6585.58,7617.69,0.8645114201286742,0.7017266770865981,0.11799664617402339,0
45,6263.63,7617.69,0.8222479518069127,0.7118272910193642,0.12674283883462764,0
46,6223.71,6585.58,0.9450511572253317,0.7166560650591957,0.12998617831399759,0
47,6450.97,6585.58,0.9795598869044185,0.7496826576000627,0.1337355750918223,0
48,6401.65,6585.58,0.9720707971051904,0.7865774342746832,0.13071018331587264,0
49,6211.86,6585.58,0.943251771294252,0.8161142975107096,0.12909882795518454,0
50,5824.1,6585.58,0.8843716119157311,0.8446727932300534,0.11411335013275141,0
51,6138.16,6585.58,0.9320606537313342,0.8686445863929074,0.08335856668136626,0
52,6298.0,6585.58,0.9563318644675184,0.8890190149942386,0.06229434465009219,0
53,6470.43,6585.58,0.9825148278511536,0.901817583667753,0.05862772381215285,0
54,6603.26,6585.58,1.0026846534397882,0.9133071054144314,0.05989994281757312,0
55,6560.21,6603.26,0.9934804929686245,0.927638340317026,0.058906289265621484,0
56,6263.42,6603.26,0.9485345117411702,0.9398447574032439,0.05577121308236829,0
57,6250.82,6603.26,0.9466263633417432,0.9468466817042854,0.05047662563818069,0
58,6189.34,6603.26,0.9373158106753331,0.9572115493321879,0.031927227438209256,0
59,6023.68,6603.26,0.9122282024333436,0.9565669371196881,0.03227130072097257,0
60,6114.74,6603.26,0.9260183606279322,0.9509559634137652,0.033730558973211255,0
61,5860.98,6603.26,0.88758885762487,0.9471182603739936,0.03372963217130638,1
62,5754.48,6603.26,0.8714604604392375,0.9424796842348785,0.03788160064441345,1
63,5217.76,6603.26,0.790179396237616,0.9414037549451707,0.039816012008717545,1
64,5188.72,6603.26,0.7857815684979843,0.9295803168206942,0.05919340549287335,1
65,4814.82,6603.26,0.7291580219467353,0.9153677921565664,0.07140214933231574,1
66,4800.73,6603.26,0.7270242274270586,0.8942547249978648,0.08575713650816012,1
67,4272.55,6560.21,0.6512825046759174,0.8712830228301374,0.09084139615682671,1
68,4376.65,6263.42,0.6987636147663736,0.8427665238057451,0.10201758738459919,0
69,4168.04,6250.82,0.6667989159822232,0.8219522823911789,0.10393820204396138,0
70,4176.47,6189.34,0.6747843873498629,0.7986333284445521,0.10481078430574078,0
71,5025.29,6114.74,0.8218321629374267,0.7767557098340961,0.10054418863656636,0
72,5547.66,6114.74,0.9072601615113643,0.7692227065427697,0.09253923456111017,0
73,5307.56,5860.98,0.905575518087419,0.767659523283056,0.08976674247286652,0
74,4912.0,5754.48,0.8535958070929085,0.7691584116549349,0.09207189137105631,0
75,4950.48,5547.66,0.8923546143779539,0.7676696905427409,0.09039656774626895,0
76,4903.2,5547.66,0.8838321021836234,0.7761842920544356,0.09726094057545835,0
77,4886.49,5547.66,0.8808200214144342,0.7843551698615724,0.10213688700538433,0
78,4940.9,5547.66,0.8906277601727575,0.7969936698172139,0.10405127356360744,0
79,4917.42,5547.66,0.8863953450644055,0.8106272975460219,0.10476573571547118,0
80,4894.94,5547.66,0.8823431861361366,0.8302200342450626,0.09365215292078534,0
81,5267.66,5547.66,0.9495282695767224,0.8455183318592097,0.08480220893129145,0
82,5377.74,5547.66,0.9693708698802739,0.8690791113254179,0.0683052471163064,0
83,5451.29,5547.66,0.9826287119253884,0.8936279848696188,0.03860982609463191,0
84,5041.45,5547.66,0.9087525190801167,0.9070276972852822,0.03932356133564622,0
85,5353.86,5451.29,0.9821271662303784,0.9071520604160117,0.03932672306073099,0
86,5406.34,5451.29,0.9917542453254184,0.913531364427925,0.044866405111269894,0
87,5864.42,5451.29,1.0757857314507209,0.9250445676139676,0.04580476282827689,0
88,6579.67,5864.42,1.1219643204272545,0.9403304940366981,0.06173932749020768,0
89,6668.43,6579.67,1.0134900382541983,0.9601748455570006,0.07804566804618565,0
90,6192.5,6668.43,0.9286293775296434,0.9712306802936476,0.0751247043167574,0
91,6111.48,6668.43,0.9164795911481413,0.9743974817400548,0.07216057213152968,0
92,6320.94,6668.43,0.9478902830201411,0.9769045022470327,0.06929076682759333,0
93,6367.11,6668.43,0.9548139517097727,0.9823667603206999,0.06350036599513438,0
94,6346.14,6668.43,0.951669283474521,0.9828072338317874,0.06326978589681481,0
95,6364.35,6668.43,0.9544000611838169,0.9813321016313079,0.06381553514040864,0
