week,index_level,max_52,ML,mean_52,std_52,mean-1.5*std,CC
167,6111.54,9078.07,0.673220188872745,0.58076819675959,0.07941441051632601,0.46164658098510103,0
168,6299.85,8625.24,0.7303970672120429,0.5785943566886674,0.07510957881375524,0.4659299884680346,0
169,6441.02,8625.24,0.7467641480121133,0.5803891914979387,0.0776078055746696,0.46397748313593423,0
170,6390.93,8625.24,0.7409567733767408,0.582683175812323,0.08072724237433779,0.4615923122508163,0
171,6202.89,8625.24,0.7191556408865145,0.5836164173250418,0.08228626978912913,0.4601870126413481,0
172,6203.29,8625.24,0.7192020164076594,0.583413584446441,0.08193134459353232,0.4605165675561425,0
173,6299.09,8625.24,0.7303089537218674,0.5843742449219286,0.08323991137486061,0.45951437785963767,0
174,6499.55,8625.24,0.7535500461436436,0.5850717073051259,0.08432173345574694,0.4585891071215055,0
175,6410.73,7806.27,0.8212283203117493,0.58519690327441,0.08457139296181262,0.45833981383169103,0
176,6356.95,7806.27,0.8143389864813796,0.5883097523075429,0.09014967014383014,0.45308524709179765,0
177,6471.05,7806.27,0.8289554422278501,0.5925726384624789,0.09544533108687754,0.44940464183216255,0
178,6278.16,7806.27,0.8042458177849343,0.5983164045439824,0.10047741492633629,0.44760028215447795,0
179,6370.58,7806.27,0.8160850188374217,0.6029674331202932,0.10430655922696361,0.4465075942798478,0
180,6328.09,7806.27,0.8106419583232453,0.6086063825282391,0.10775982176511335,0.446966649880569,0
181,6469.49,7806.27,0.8287556028679509,0.6140215676990007,0.11071831464341425,0.4479440957338794,0
182,6475.28,7806.27,0.8294973143383458,0.6197595253145496,0.11398218343257625,0.4487862501656852,0
183,6455.83,7806.27,0.8270057274472955,0.6249349179744983,0.11729464197081163,0.44899295501828085,0
184,6462.59,7806.27,0.8278716980068586,0.6291004981048045,0.12056879875639506,0.4482472999702119,0
185,6583.89,7806.27,0.843410489260556,0.6331317120747513,0.12366350507322908,0.44763645446490763,0
186,6602.33,7806.27,0.845772692976287,0.637550458508878,0.1270130098983351,0.44703094366137536,0
187,6652.82,7806.27,0.8522405707207155,0.6414118866516196,0.1302541640904684,0.44603064051591707,0
188,6520.98,7806.27,0.835351582766161,0.6451973926813022,0.13348875070781493,0.4449642666195798,0
189,6513.92,7792.12,0.8359624851773331,0.6482597669346645,0.13601449278400182,0.4442380277586617,0
190,6318.52,7792.12,0.8108858693141276,0.6520503447239906,0.13847160863463748,0.4443429317720344,0
191,6282.0,7792.12,0.8061990831763372,0.6551328919295253,0.14021175851080608,0.44481525416331613,0
192,6263.63,7792.12,0.8038415732817257,0.6584933716734243,0.14171908711474498,0.4459147410013068,0
193,6371.62,7792.12,0.8177004460916927,0.6611278362426974,0.1431436038538959,0.4464124304618536,0
194,6194.66,7617.69,0.8131940260105097,0.6638743337201641,0.14477353497426895,0.4467140312587607,0
195,6122.0,6652.82,0.9202112788261219,0.6668246988966875,0.14624416342326133,0.4474584537617955,0
196,6223.71,6652.82,0.9354995325290629,0.6735773985121513,0.1497077499437419,0.44901577359653844,0
197,6207.09,6652.82,0.933001343791054,0.6817512939876309,0.15220945359389954,0.4534371135967816,0
198,6337.11,6652.82,0.9525449358317225,0.6897323572545393,0.15432006949619936,0.45825225301024025,0
199,6307.16,6652.82,0.9480430854885598,0.6989411770316504,0.1554584434299798,0.4657535118866807,0
200,6476.17,6652.82,0.9734473501462538,0.7077385152724767,0.1563773258168131,0.473172526547257,0
201,6452.84,6652.82,0.9699405665567384,0.7164992018517572,0.15828217795150074,0.47907593492450606,0
202,6447.92,6652.82,0.9692010305404325,0.7257430624676289,0.15878627151058772,0.48756365520174727,0
203,6483.25,6652.82,0.9745115605111818,0.7350183052105284,0.15864708339725297,0.4970476801146489,0
204,6546.62,6652.82,0.9840368445260806,0.7445831861425017,0.15778559969160177,0.5079047866050991,0
205,6401.65,6652.82,0.9622460851187917,0.7535979177297146,0.15781840854809623,0.5168703049075702,0
206,6578.73,6652.82,0.9888633692178654,0.7619801170226636,0.1570867052828082,0.5263500590984513,0
207,6528.16,6652.82,0.9812620813429493,0.7707957376694559,0.1567011027315485,0.5357440835721331,0
208,6300.71,6652.82,0.9470735718086466,0.7793915437767451,0.15572923401575928,0.5457976927531062,0
209,6211.86,6652.82,0.9337183329775944,0.7869707597475195,0.15407457144029876,0.5558589025870714,0
210,6089.68,6652.82,0.9153531885726655,0.7949144608653109,0.1506855076873879,0.5688861993342291,0
211,5863.78,6652.82,0.8813976629459387,0.8025478418719676,0.14639706419190773,0.582952245584106,0
212,5974.98,6652.82,0.8981123794120388,0.8095683728251915,0.14105838201593948,0.5979807998012823,0
213,5836.93,6652.82,0.8773617804179281,0.8173220422467006,0.13434532953683717,0.6158040479414448,0
214,5772.52,6652.82,0.8676801717166556,0.8246456982884568,0.12667631145261862,0.6346312311095288,0
215,5969.27,6652.82,0.8972540967589685,0.8317720267212478,0.11801657689022103,0.6547471613859163,0
216,6013.0,6652.82,0.9038272491965813,0.8389790486792253,0.10992461551191467,0.6740921254113533,0
217,6010.31,6652.82,0.9034229093827881,0.8463270013976423,0.10068467116785056,0.6952999946458664,0
218,6138.16,6652.82,0.9226403239528501,0.8537664644300315,0.08951398104625194,0.7194954928606536,0
219,6226.01,6652.82,0.9358452505854661,0.8601421206077937,0.08192414482973574,0.7372559033631901,0
220,6128.74,6652.82,0.9212243830435816,0.8651926025638075,0.07818462476097485,0.7479156654223452,0
221,6126.11,6652.82,0.9208290619616945,0.8688623586374911,0.07618656761998008,0.754582507207521,0
222,6215.46,6652.82,0.9342594568919647,0.8722097608288292,0.07452252552126937,0.7604259725469251,0
223,6225.12,6652.82,0.9357114727288579,0.875927120127199,0.07264447266559007,0.7669604111288139,0
224,6161.19,6652.82,0.9261020138828346,0.8800916553549362,0.06962549786130338,0.7756534085629812,0
225,6347.76,6652.82,0.9541457607450676,0.884070501460228,0.06607207316914246,0.7849623917065144,0
226,6346.53,6652.82,0.9539608767409911,0.8883750554414435,0.06308193742259866,0.7937521493075455,0
227,6526.51,6652.82,0.9810140662155298,0.892229109876008,0.0607626683073704,0.8010851074149524,0
228,6574.18,6652.82,0.9881794487149811,0.8953019126818499,0.06114076672095261,0.803590762600421,0
229,6622.04,6652.82,0.9953733905321352,0.8986449984940345,0.061379235617479516,0.8065761450678152,0
230,6572.01,6652.82,0.9878532712443746,0.9018453436537323,0.062009659512022614,0.8088308543856984,0
231,6603.26,6652.82,0.9925505274455044,0.9053762562202601,0.06156910445716798,0.8130225995345082,0
232,6709.82,6652.82,1.0085677953108607,0.9087698236934922,0.06141406664675177,0.8166487237233646,0
233,6571.42,6709.82,0.9793735152358782,0.912576089789408,0.06134653504456293,0.8205562872225636,0
234,6630.81,6709.82,0.9882247213785169,0.9154725881041756,0.06086517130057129,0.8241748311533187,0
235,6426.98,6709.82,0.957846857292744,0.9185250382395634,0.06044761800584215,0.8278536112308003,0
236,6641.22,6709.82,0.9897761787946623,0.9210412138135146,0.05927517130620293,0.8321284568542102,0
237,6361.94,6709.82,0.9481536017359631,0.9241547615209723,0.058532826722878045,0.8363555214366553,0
238,6278.03,6709.82,0.9356480501712415,0.9261690521454994,0.05749271151966444,0.8399299848660027,0
239,6316.41,6709.82,0.9413680247756274,0.9278974243992484,0.056368351663852456,0.8433448969034697,0
240,6203.14,6709.82,0.924486796963257,0.9296114139003044,0.05536893703005461,0.8465580083552225,0
241,6235.76,6709.82,0.9293483282711013,0.931325552634864,0.05374964375436736,0.850701087003313,0
242,6242.89,6709.82,0.9304109499211605,0.9331214342328212,0.05203360890770216,0.855071020871268,0
243,6250.82,6709.82,0.9315927998068503,0.9354199934752642,0.04908444048208835,0.8617933327521317,0
244,6417.25,6709.82,0.956396743876885,0.9378314111027739,0.04556564415788087,0.8694829448659526,0
245,6399.37,6709.82,0.9537319928105374,0.9407651643834499,0.04149922276927246,0.8785163302295412,0
246,6272.38,6709.82,0.9348060007570993,0.9433811556665047,0.03770338738199864,0.8868260745935067,0
247,6383.63,6709.82,0.9513861772745023,0.9457198474885545,0.032940602529931085,0.8963089436936579,0
248,6004.85,6709.82,0.8949345884092271,0.9463193647664079,0.03275038642926096,0.8971937851225165,1
249,5554.9,6709.82,0.8278761576316503,0.9455392696871802,0.03348797277012905,0.8953073105319866,1
250,5754.83,6709.82,0.8576727840687232,0.9435176314918071,0.03722442366956058,0.8876809959874663,1
251,5897.68,6709.82,0.8789624758935412,0.9416931670348265,0.039053331642334974,0.883113169571324,1
252,6056.34,6709.82,0.902608415725012,0.9403646937733838,0.03999665298120348,0.8803697143015786,0
253,6206.98,6709.82,0.9250590924942844,0.9390024065729754,0.04005410951484019,0.8789212423007151,0
254,6146.31,6709.82,0.9160171211746366,0.9381393013025439,0.03985744818526011,0.8783531290246537,0
255,5787.15,6709.82,0.8624896047882059,0.93711653381474,0.03972690845496939,0.8775261711322859,1
256,6114.74,6709.82,0.9113120769260576,0.9349622654354521,0.040685078245067174,0.8739346480678514,0
257,6017.69,6709.82,0.8968482015911008,0.9335637122123747,0.04021227079028024,0.8732453060269543,0
258,6027.19,6709.82,0.8982640368892161,0.9323060606060729,0.04032015631754217,0.8718258261297597,0
259,5880.84,6709.82,0.8764527215335136,0.9305637657535988,0.03978218754767518,0.870890484432086,0
260,5860.98,6709.82,0.8734928805839799,0.9285482011418789,0.039818258846615606,0.8688208128719555,0
261,5909.29,6709.82,0.8806927756631325,0.9271331878490969,0.04044942664796328,0.866459047877152,0
262,5991.34,6709.82,0.8929211215800127,0.9261134655930496,0.040945501400128224,0.8646952134928573,0
263,5995.15,6709.82,0.8934889460522041,0.9256820796893448,0.04117859466607926,0.8639141876902259,0
264,5917.8,6709.82,0.8819610660196548,0.925914604364465,0.0409571718821385,0.8644788465412573,0
265,5685.12,6709.82,0.8472835336864476,0.9256040021838423,0.04123246378177831,0.8637553065111748,1
266,5669.3,6709.82,0.8449257953268494,0.9250255743620831,0.042123838268800506,0.8618398169588823,1
