index_level,diff,is_rising,pli
4878.69,34.57999999999993,1,0.6
4898.11,6.469999999999345,1,0.8
4809.92,-60.55000000000018,0,0.2
4600.35,-55.75,0,0.2
4722.66,16.109999999999673,1,0.8
4887.9,-0.010000000000218279,0,0.6
4886.49,-47.69000000000051,0,0.4
5154.64,16.230000000000473,1,1.0
5242.61,25.31999999999971,1,0.5
5204.48,12.80999999999949,1,0.8
5005.63,35.39000000000033,1,0.4
4940.9,-64.73000000000047,0,0.0
5055.52,9.160000000000764,1,1.0
4961.81,-68.03999999999996,0,0.2
4994.57,36.31999999999971,1,0.4
4962.35,44.93000000000029,1,0.4
4988.29,-18.779999999999745,0,0.6
4868.44,-43.67000000000007,0,0.4
4904.08,-41.64000000000033,0,0.4
4894.94,5.6799999999993815,1,0.4
5010.51,42.909999999999854,1,0.8
5073.69,61.6899999999996,1,0.6
5184.68,-57.05999999999949,0,0.6
5179.19,-39.95000000000073,0,0.6
5380.64,14.5,1,1.0
5480.23,-17.3100000000004,0,0.6
5510.05,-17.61999999999989,0,0.2
5377.74,-197.77000000000044,0,0.5
5327.04,44.149999999999636,1,0.8
5420.8,7.960000000000036,1,0.6
5784.03,77.31999999999971,1,0.8
5451.29,-302.4399999999996,0,0.6
5763.86,-37.26000000000022,0,0.8
5457.2,-36.68000000000029,0,0.2
5219.28,61.460000000000036,1,0.6
5137.34,-28.769999999999527,0,0.4
5107.04,-40.159999999999854,0,0.4
5208.51,-113.94999999999982,0,0.75
5318.45,1.4799999999995634,1,0.6
5273.55,-84.23999999999978,0,0.4
5353.86,127.04999999999927,1,0.25
5507.7,61.94999999999982,1,0.6666666666666666
5507.93,20.82000000000062,1,0.6
5328.23,-97.94000000000051,0,0.2
5406.34,45.17000000000007,1,0.4
5585.42,8.670000000000073,1,0.8
5591.49,2.389999999999418,1,0.6
5787.15,52.75,1,0.6
5789.09,-15.25,0,0.3333333333333333
6051.51,76.23000000000047,1,0.8
6676.44,-17.3100000000004,0,0.8
6344.59,24.590000000000146,1,0.4
6283.98,-336.1100000000006,0,0.6
6579.67,68.23000000000047,1,0.8
6688.88,-81.42000000000007,0,0.4
6623.56,70.90000000000055,1,0.6
6643.94,50.149999999999636,1,0.6
6691.21,112.42000000000007,1,0.6
6618.58,-43.67000000000007,0,0.4
6311.97,76.40000000000055,1,0.4
6469.47,102.44999999999982,1,0.8
6236.89,-7.75,0,0.2
6192.5,-36.27000000000044,0,0.3333333333333333
6357.97,165.47000000000025,1,1.0
6428.68,-31.359999999999673,0,0.4
6213.26,-103.88000000000011,0,0.2
6111.48,-143.71000000000004,0,0.8
6301.25,-50.72999999999956,0,0.6
6306.97,-8.519999999999527,0,0.4
6422.99,62.38999999999942,1,0.8
6351.61,17.30999999999949,1,0.6
6464.73,23.849999999999454,1,0.8
6209.43,-110.67000000000007,0,0.2
6291.92,-16.979999999999563,0,0.6
6278.5,73.27999999999975,1,0.6
6367.11,97.85999999999967,1,0.5
6557.6,19.480000000000473,1,0.8
6417.5,-22.390000000000327,0,0.2
6637.81,15.3100000000004,1,0.8
6346.14,-68.23999999999978,0,0.4
6239.87,-88.92000000000007,0,0.4
6525.17,67.28999999999996,1,1.0
6703.48,88.9399999999996,1,1.0
6364.35,-134.79999999999927,0,0.0
6403.5,1.5100000000002183,1,0.6
6222.38,8.550000000000182,1,0.4
6206.6,-67.25999999999931,0,0.6
6251.79,94.38000000000011,1,0.6
6326.61,14.949999999999818,1,0.8
6335.24,-21.51000000000022,0,0.75
6339.59,63.13000000000011,1,0.4
6462.76,17.289999999999964,1,0.8
6485.71,-6.220000000000255,0,0.6
6444.44,-44.910000000000764,0,0.5
6525.8,86.77000000000044,1,0.6
6527.86,-20.850000000000364,0,0.4
6668.17,-17.23999999999978,0,0.8
6693.06,25.330000000000837,1,0.6
6725.92,-39.720000000000255,0,0.6
6657.76,41.590000000000146,1,0.5
6813.41,58.539999999999964,1,0.8
6658.05,-58.61999999999989,0,0.4
